type,iterations,time,acc
segv,1,0,98
segv,10,0.1,100
segv,100,0.8,100
segv,200,0.17,100
segv,500,0.42,100
segv,700,0.59,100
segv,1000,0.89,100
tsx,1,0,98
tsx,10,0.1,100
tsx,100,0.8,100
tsx,200,0.17,99
tsx,500,0.41,100
tsx,700,0.58,100
tsx,1000,0.83,100
spectre,1,0.01,3
spectre,10,0.03,43
spectre,100,0.23,84
spectre,200,0.46,83
spectre,500,1.13,87
spectre,700,1.58,81
spectre,1000,2.27,88



