a*,a,timing
0x7fa5069c0f03,0x7fa5069c0f03,26789602
0x7fa5069c0f03,0x7fa500878410,353
0x7fa5069c0f03,0x7fa503622b35,612
0x7fa5069c0f03,0x7fa5342da688,349
0x7fa5069c0f03,0x7fa53bc1a3f5,341
0x7fa5069c0f03,0x7fa505ec441c,341
0x7fa5069c0f03,0x7fa52ae05e4e,349
0x7fa5069c0f03,0x7fa502bdb927,352
0x7fa5069c0f03,0x7fa507c11ac4,351
0x7fa5069c0f03,0x7fa515c10d5b,505
0x7fa5069c0f03,0x7fa52b97603d,553
0x7fa5069c0f03,0x7fa535e03aee,352
0x7fa5069c0f03,0x7fa5284ef829,352
0x7fa5069c0f03,0x7fa5089b7441,349
0x7fa5069c0f03,0x7fa527c62832,347
0x7fa5069c0f03,0x7fa528be47b7,342
0x7fa5069c0f03,0x7fa51b3a6d27,351
0x7fa5069c0f03,0x7fa50e7c3d6b,352
0x7fa5069c0f03,0x7fa50a36df1b,348
0x7fa5069c0f03,0x7fa51b07990c,347
0x7fa5069c0f03,0x7fa516d6c8cf,345
0x7fa5069c0f03,0x7fa51a6fc7e5,347
0x7fa5069c0f03,0x7fa50c20913f,342
0x7fa5069c0f03,0x7fa5301c5a12,345
0x7fa5069c0f03,0x7fa52b148ef0,347
0x7fa5069c0f03,0x7fa5151af31b,422
0x7fa5069c0f03,0x7fa507d9aacb,347
0x7fa5069c0f03,0x7fa5267d0235,346
0x7fa5069c0f03,0x7fa53b13ddd6,344
0x7fa5069c0f03,0x7fa52f0eb198,554
0x7fa5069c0f03,0x7fa5134c0767,347
0x7fa5069c0f03,0x7fa501afecd9,347
0x7fa5069c0f03,0x7fa52f9635a8,353
0x7fa5069c0f03,0x7fa516ae329c,345
0x7fa5069c0f03,0x7fa535dd9362,354
0x7fa5069c0f03,0x7fa52b57d99e,345
0x7fa5069c0f03,0x7fa51c9a76b8,341
0x7fa5069c0f03,0x7fa520bdf1b0,347
0x7fa5069c0f03,0x7fa52e1592c5,344
0x7fa5069c0f03,0x7fa5245b917d,349
0x7fa5069c0f03,0x7fa5367eff0b,349
0x7fa5069c0f03,0x7fa519acf303,348
0x7fa5069c0f03,0x7fa51a3bcc6b,352
0x7fa5069c0f03,0x7fa51ecdf735,555
0x7fa5069c0f03,0x7fa522486744,349
0x7fa5069c0f03,0x7fa50201f49d,353
0x7fa5069c0f03,0x7fa5078c3eec,345
0x7fa5069c0f03,0x7fa53d82d46b,551
0x7fa5069c0f03,0x7fa5107e3209,349
0x7fa5069c0f03,0x7fa511c31e07,350
0x7fa5069c0f03,0x7fa5188a6d77,349
0x7fa5069c0f03,0x7fa52754fad8,344
0x7fa5069c0f03,0x7fa52c32e5ec,515
0x7fa5069c0f03,0x7fa524aafeb7,352
0x7fa5069c0f03,0x7fa5177154ea,348
0x7fa5069c0f03,0x7fa5174774dd,344
0x7fa5069c0f03,0x7fa539c5f1d2,340
0x7fa5069c0f03,0x7fa51f4affb5,353
0x7fa5069c0f03,0x7fa53dc47712,352
0x7fa5069c0f03,0x7fa534d9cfa8,368
0x7fa5069c0f03,0x7fa50e59b14d,347
0x7fa5069c0f03,0x7fa511107e79,560
0x7fa5069c0f03,0x7fa53689bc81,347
0x7fa5069c0f03,0x7fa53defe6f6,353
0x7fa5069c0f03,0x7fa527beb115,347
0x7fa5069c0f03,0x7fa52c674fe3,570
0x7fa5069c0f03,0x7fa52947c094,346
0x7fa5069c0f03,0x7fa5045927ce,341
0x7fa5069c0f03,0x7fa50d254193,344
0x7fa5069c0f03,0x7fa5175d5359,341
0x7fa5069c0f03,0x7fa528b4b94b,354
0x7fa5069c0f03,0x7fa503a4409f,352
0x7fa5069c0f03,0x7fa5310a465c,346
0x7fa5069c0f03,0x7fa502f085b6,342
0x7fa5069c0f03,0x7fa5227237d4,350
0x7fa5069c0f03,0x7fa51352ada0,342
0x7fa5069c0f03,0x7fa504f27a53,345
0x7fa5069c0f03,0x7fa529fe76c0,342
0x7fa5069c0f03,0x7fa510d5820b,349
0x7fa5069c0f03,0x7fa51570ac5c,342
0x7fa5069c0f03,0x7fa53bc194c7,343
0x7fa5069c0f03,0x7fa5295fef83,361
0x7fa5069c0f03,0x7fa53cc5a734,347
0x7fa5069c0f03,0x7fa527f47ab3,344
0x7fa5069c0f03,0x7fa50e0aee3a,554
0x7fa5069c0f03,0x7fa51436fc1e,342
0x7fa5069c0f03,0x7fa53f3bef90,351
0x7fa5069c0f03,0x7fa507d0e00c,371
0x7fa5069c0f03,0x7fa53381fbd3,559
0x7fa5069c0f03,0x7fa53d0066a2,354
0x7fa5069c0f03,0x7fa53caaafb4,370
0x7fa5069c0f03,0x7fa501dbad21,351
0x7fa5069c0f03,0x7fa50e10e51b,346
0x7fa5069c0f03,0x7fa533346c35,348
0x7fa5069c0f03,0x7fa53fcb9417,358
0x7fa5069c0f03,0x7fa535cf9631,352
0x7fa5069c0f03,0x7fa51f9bbc19,351
0x7fa5069c0f03,0x7fa5291354ab,551
0x7fa5069c0f03,0x7fa53a28bdff,348
0x7fa5069c0f03,0x7fa52cc0fdac,345
0x7fa5069c0f03,0x7fa50070a804,345
0x7fa5069c0f03,0x7fa522dd774a,549
0x7fa5069c0f03,0x7fa530653e4b,344
0x7fa5069c0f03,0x7fa5317aee61,347
0x7fa5069c0f03,0x7fa525cdfd00,347
0x7fa5069c0f03,0x7fa512d7761f,348
0x7fa5069c0f03,0x7fa504cd9c01,352
0x7fa5069c0f03,0x7fa52ac07753,353
0x7fa5069c0f03,0x7fa53cd5ecdf,341
0x7fa5069c0f03,0x7fa515a31e0d,355
0x7fa5069c0f03,0x7fa5003123b0,353
0x7fa5069c0f03,0x7fa5389781a6,349
0x7fa5069c0f03,0x7fa53f030d90,354
0x7fa5069c0f03,0x7fa53cf6cae4,340
0x7fa5069c0f03,0x7fa5208bfc5a,344
0x7fa5069c0f03,0x7fa50d0dfbca,555
0x7fa5069c0f03,0x7fa5112dc703,348
0x7fa5069c0f03,0x7fa51fc7ebea,344
0x7fa5069c0f03,0x7fa514dedbd6,347
0x7fa5069c0f03,0x7fa504afc2d6,349
0x7fa5069c0f03,0x7fa51cc8528d,561
0x7fa5069c0f03,0x7fa511898b8a,348
0x7fa5069c0f03,0x7fa5068b6ff7,360
0x7fa5069c0f03,0x7fa52ad937a8,348
0x7fa5069c0f03,0x7fa504bdf7bf,350
0x7fa5069c0f03,0x7fa50657040e,347
0x7fa5069c0f03,0x7fa520a8cdd9,348
0x7fa5069c0f03,0x7fa52459b3d8,349
0x7fa5069c0f03,0x7fa52f6a58b9,356
0x7fa5069c0f03,0x7fa51ad18bd8,341
0x7fa5069c0f03,0x7fa5111ab185,347
0x7fa5069c0f03,0x7fa52fdb00be,345
0x7fa5069c0f03,0x7fa53daf0322,514
0x7fa5069c0f03,0x7fa5017fefd0,420
0x7fa5069c0f03,0x7fa52155ef1f,340
0x7fa5069c0f03,0x7fa5237d0022,359
0x7fa5069c0f03,0x7fa5145765f0,348
0x7fa5069c0f03,0x7fa526238b20,557
0x7fa5069c0f03,0x7fa50e3d7776,342
0x7fa5069c0f03,0x7fa5112d52cf,344
0x7fa5069c0f03,0x7fa53bc6a92d,342
0x7fa5069c0f03,0x7fa50e6e9b26,351
0x7fa5069c0f03,0x7fa509c4d476,345
0x7fa5069c0f03,0x7fa53ac9b6bd,352
0x7fa5069c0f03,0x7fa50b65660a,349
0x7fa5069c0f03,0x7fa52a50d0d0,345
0x7fa5069c0f03,0x7fa507d7b287,351
0x7fa5069c0f03,0x7fa51c932d0d,349
0x7fa5069c0f03,0x7fa50a18bcba,349
0x7fa5069c0f03,0x7fa51cb68e5d,348
0x7fa5069c0f03,0x7fa52142efe4,357
0x7fa5069c0f03,0x7fa526e10f47,552
0x7fa5069c0f03,0x7fa52e4019e7,344
0x7fa5069c0f03,0x7fa527ce5fdb,364
0x7fa5069c0f03,0x7fa511ba46f0,352
0x7fa5069c0f03,0x7fa532fe11a7,720
0x7fa5069c0f03,0x7fa52e2563ea,352
0x7fa5069c0f03,0x7fa5326314c9,344
0x7fa5069c0f03,0x7fa51757c57f,344
0x7fa5069c0f03,0x7fa51d8fbca3,351
0x7fa5069c0f03,0x7fa50d34a0a2,340
0x7fa5069c0f03,0x7fa528727704,342
0x7fa5069c0f03,0x7fa50d6abd61,346
0x7fa5069c0f03,0x7fa50ae3a3c4,342
0x7fa5069c0f03,0x7fa529f266d5,349
0x7fa5069c0f03,0x7fa52ec0ac80,348
0x7fa5069c0f03,0x7fa52e60a3e7,340
0x7fa5069c0f03,0x7fa53e49ccc5,343
0x7fa5069c0f03,0x7fa514e437a1,348
0x7fa5069c0f03,0x7fa53c9e1b5d,342
0x7fa5069c0f03,0x7fa50f771f94,386
0x7fa5069c0f03,0x7fa510aae0ce,346
0x7fa5069c0f03,0x7fa50b0cb683,349
0x7fa5069c0f03,0x7fa5193bf40a,348
0x7fa5069c0f03,0x7fa50b74978c,561
0x7fa5069c0f03,0x7fa516721c8d,344
0x7fa5069c0f03,0x7fa5038cc4da,354
0x7fa5069c0f03,0x7fa5134c4a13,344
0x7fa5069c0f03,0x7fa53305499b,359
0x7fa5069c0f03,0x7fa50da58195,357
0x7fa5069c0f03,0x7fa53002d871,345
0x7fa5069c0f03,0x7fa51448397f,345
0x7fa5069c0f03,0x7fa5348690dc,341
0x7fa5069c0f03,0x7fa51e42f258,348
0x7fa5069c0f03,0x7fa53c16995a,345
0x7fa5069c0f03,0x7fa50640d7cc,349
0x7fa5069c0f03,0x7fa5114103ff,352
0x7fa5069c0f03,0x7fa52a3bfd44,352
0x7fa5069c0f03,0x7fa538a3ec96,346
0x7fa5069c0f03,0x7fa52898c97f,342
0x7fa5069c0f03,0x7fa507cbb9e8,346
0x7fa5069c0f03,0x7fa505d88d38,347
0x7fa5069c0f03,0x7fa5110b4083,357
0x7fa5069c0f03,0x7fa515367749,549
0x7fa5069c0f03,0x7fa510bc30fc,347
0x7fa5069c0f03,0x7fa53afda758,355
0x7fa5069c0f03,0x7fa503f723ca,346
0x7fa5069c0f03,0x7fa53f1cd4e3,351
0x7fa5069c0f03,0x7fa53947741d,348
0x7fa5069c0f03,0x7fa518db5b6b,342
0x7fa5069c0f03,0x7fa53bbaf040,363
0x7fa5069c0f03,0x7fa508be93b2,354
0x7fa5069c0f03,0x7fa529863c39,351
0x7fa5069c0f03,0x7fa506c7a6c3,356
0x7fa5069c0f03,0x7fa521fa87bc,358
0x7fa5069c0f03,0x7fa534fad3c5,354
0x7fa5069c0f03,0x7fa51d39c351,346
0x7fa5069c0f03,0x7fa525874c97,555
0x7fa5069c0f03,0x7fa508471dd9,348
0x7fa5069c0f03,0x7fa5103f0cec,340
0x7fa5069c0f03,0x7fa5332cce2c,356
0x7fa5069c0f03,0x7fa53849f64a,555
0x7fa5069c0f03,0x7fa52487466b,353
0x7fa5069c0f03,0x7fa527b35f08,344
0x7fa5069c0f03,0x7fa5168ce8a2,347
0x7fa5069c0f03,0x7fa5209ddfc5,366
0x7fa5069c0f03,0x7fa52df436d5,345
0x7fa5069c0f03,0x7fa527cdeca2,344
0x7fa5069c0f03,0x7fa50ad9dd0a,348
0x7fa5069c0f03,0x7fa52698236b,346
0x7fa5069c0f03,0x7fa51066b621,345
0x7fa5069c0f03,0x7fa512a596f2,350
0x7fa5069c0f03,0x7fa52c70b0a3,345
0x7fa5069c0f03,0x7fa52171f6a4,342
0x7fa5069c0f03,0x7fa527dc0e3b,514
0x7fa5069c0f03,0x7fa53d2ce19f,495
0x7fa5069c0f03,0x7fa51c6f9dfd,354
0x7fa5069c0f03,0x7fa52bd33205,348
0x7fa5069c0f03,0x7fa53c49b683,348
0x7fa5069c0f03,0x7fa515b7121a,554
0x7fa5069c0f03,0x7fa504ae8d70,347
0x7fa5069c0f03,0x7fa53804a6c3,352
0x7fa5069c0f03,0x7fa51e75a5cc,357
0x7fa5069c0f03,0x7fa52e34c9aa,342
0x7fa5069c0f03,0x7fa53ecc4d87,347
0x7fa5069c0f03,0x7fa500702d89,350
0x7fa5069c0f03,0x7fa5232f9d6f,346
0x7fa5069c0f03,0x7fa51c0610d8,354
0x7fa5069c0f03,0x7fa525f77a20,353
0x7fa5069c0f03,0x7fa52b76bb48,516
0x7fa5069c0f03,0x7fa52c451dc4,349
0x7fa5069c0f03,0x7fa51924484c,352
0x7fa5069c0f03,0x7fa523c0b192,345
0x7fa5069c0f03,0x7fa510cc642f,344
0x7fa5069c0f03,0x7fa500d7a754,347
0x7fa5069c0f03,0x7fa53a4d9a35,343
0x7fa5069c0f03,0x7fa5316a43f4,344
0x7fa5069c0f03,0x7fa52ecbde29,549
0x7fa5069c0f03,0x7fa5221b86d7,351
0x7fa5069c0f03,0x7fa53c4420fe,348
0x7fa5069c0f03,0x7fa515640194,345
0x7fa5069c0f03,0x7fa532823cf8,355
0x7fa5069c0f03,0x7fa50ee9b7f0,349
0x7fa5069c0f03,0x7fa501d4b237,346
0x7fa5069c0f03,0x7fa513f4339c,354
0x7fa5069c0f03,0x7fa536c5c62c,341
0x7fa5069c0f03,0x7fa53f0193d7,344
0x7fa5069c0f03,0x7fa53063d199,521
0x7fa5069c0f03,0x7fa52298f831,343
0x7fa5069c0f03,0x7fa53b4b4a5a,342
0x7fa5069c0f03,0x7fa5061ae3b4,344
0x7fa5069c0f03,0x7fa5274785a2,347
0x7fa5069c0f03,0x7fa5334ff11d,550
0x7fa5069c0f03,0x7fa524908980,347
0x7fa5069c0f03,0x7fa5157c4f4c,341
0x7fa5069c0f03,0x7fa5321c3ea4,346
0x7fa5069c0f03,0x7fa52500b709,342
0x7fa5069c0f03,0x7fa538abecbb,357
0x7fa5069c0f03,0x7fa50e224f7c,355
0x7fa5069c0f03,0x7fa50af83129,352
0x7fa5069c0f03,0x7fa52422a804,345
0x7fa5069c0f03,0x7fa53a676d40,343
0x7fa5069c0f03,0x7fa5241c7975,341
0x7fa5069c0f03,0x7fa507e35996,343
0x7fa5069c0f03,0x7fa50b33d16f,341
0x7fa5069c0f03,0x7fa524f420ca,348
0x7fa5069c0f03,0x7fa50230f3cb,350
0x7fa5069c0f03,0x7fa53c9e1564,342
0x7fa5069c0f03,0x7fa513bffef3,348
0x7fa5069c0f03,0x7fa5244c7aa2,339
0x7fa5069c0f03,0x7fa538e23662,350
0x7fa5069c0f03,0x7fa529240088,554
0x7fa5069c0f03,0x7fa516ceb79a,347
0x7fa5069c0f03,0x7fa507cbee53,345
0x7fa5069c0f03,0x7fa52af8b2bf,350
0x7fa5069c0f03,0x7fa52ac2eb37,342
0x7fa5069c0f03,0x7fa53e91b47f,341
0x7fa5069c0f03,0x7fa529fa4696,515
0x7fa5069c0f03,0x7fa51b26bcd0,350
0x7fa5069c0f03,0x7fa5212aacb0,343
0x7fa5069c0f03,0x7fa5254590f0,347
0x7fa5069c0f03,0x7fa52141a084,344
0x7fa5069c0f03,0x7fa508723252,348
0x7fa5069c0f03,0x7fa51895820e,354
0x7fa5069c0f03,0x7fa505d22a05,554
0x7fa5069c0f03,0x7fa51dee819e,348
0x7fa5069c0f03,0x7fa50ab1c0b2,350
0x7fa5069c0f03,0x7fa52ad2e10e,342
0x7fa5069c0f03,0x7fa5169a6e5a,354
0x7fa5069c0f03,0x7fa518d4102f,564
0x7fa5069c0f03,0x7fa535cb1238,343
0x7fa5069c0f03,0x7fa53abd165e,346
0x7fa5069c0f03,0x7fa5133b7d6f,355
0x7fa5069c0f03,0x7fa519e78bad,516
0x7fa5069c0f03,0x7fa502a06ff4,361
0x7fa5069c0f03,0x7fa51e6f4edf,340
0x7fa5069c0f03,0x7fa53edbac77,355
0x7fa5069c0f03,0x7fa504d163c0,351
0x7fa5069c0f03,0x7fa51b0d6443,340
0x7fa5069c0f03,0x7fa5129bab6b,346
0x7fa5069c0f03,0x7fa5291dde62,355
0x7fa5069c0f03,0x7fa513ef9aa5,356
0x7fa5069c0f03,0x7fa53bbfabf3,558
0x7fa5069c0f03,0x7fa53fec95fd,359
0x7fa5069c0f03,0x7fa51bbb88f8,348
0x7fa5069c0f03,0x7fa526b85eb2,345
0x7fa5069c0f03,0x7fa52aaf8134,551
0x7fa5069c0f03,0x7fa51a4d3d77,515
0x7fa5069c0f03,0x7fa510b2a549,342
0x7fa5069c0f03,0x7fa505d63e04,351
0x7fa5069c0f03,0x7fa53b77ea28,346
0x7fa5069c0f03,0x7fa535f83639,346
0x7fa5069c0f03,0x7fa52717de89,342
0x7fa5069c0f03,0x7fa503ea1c7a,343
0x7fa5069c0f03,0x7fa50e8db847,349
0x7fa5069c0f03,0x7fa52cea088e,344
0x7fa5069c0f03,0x7fa521d89e19,343
0x7fa5069c0f03,0x7fa5193f78fa,341
0x7fa5069c0f03,0x7fa517bce99c,352
0x7fa5069c0f03,0x7fa538730c73,347
0x7fa5069c0f03,0x7fa532138929,346
0x7fa5069c0f03,0x7fa50d87fbd4,346
0x7fa5069c0f03,0x7fa5333022d1,348
0x7fa5069c0f03,0x7fa5054f0698,348
0x7fa5069c0f03,0x7fa5276f8782,356
0x7fa5069c0f03,0x7fa535d092c5,553
0x7fa5069c0f03,0x7fa523be5577,349
0x7fa5069c0f03,0x7fa5264b33f9,340
0x7fa5069c0f03,0x7fa53aa1f685,340
0x7fa5069c0f03,0x7fa53ecbb9ba,354
0x7fa5069c0f03,0x7fa538e6df64,341
0x7fa5069c0f03,0x7fa523bfd4e8,344
0x7fa5069c0f03,0x7fa512bb5460,341
0x7fa5069c0f03,0x7fa534a68b57,343
0x7fa5069c0f03,0x7fa523ac6ae5,342
0x7fa5069c0f03,0x7fa52e76dd58,342
0x7fa5069c0f03,0x7fa51b5eea0a,359
0x7fa5069c0f03,0x7fa50e5bec19,347
0x7fa5069c0f03,0x7fa508c41ad0,349
0x7fa5069c0f03,0x7fa52c118f53,344
0x7fa5069c0f03,0x7fa514322a1d,386
0x7fa5069c0f03,0x7fa5043c04f8,342
