a*,a,timing
0x7f44336cef83,0x7f44336cef83,28941705
0x7f44336cef83,0x7f4417a1c1b0,511
0x7f44336cef83,0x7f440a884054,588
0x7f44336cef83,0x7f44225304d3,532
0x7f44336cef83,0x7f4418e02463,378
0x7f44336cef83,0x7f44186fdcd5,367
0x7f44336cef83,0x7f443aefdcef,361
0x7f44336cef83,0x7f442de107ef,361
0x7f44336cef83,0x7f441f30ec23,368
0x7f44336cef83,0x7f4404e6509e,487
0x7f44336cef83,0x7f442683cd65,354
0x7f44336cef83,0x7f44015c2f6d,359
0x7f44336cef83,0x7f4408cc6a0e,367
0x7f44336cef83,0x7f4415cd25a5,364
0x7f44336cef83,0x7f443b510cf8,360
0x7f44336cef83,0x7f4403836006,378
0x7f44336cef83,0x7f442aa33774,376
0x7f44336cef83,0x7f442eaf002e,406
0x7f44336cef83,0x7f4407d2a284,366
0x7f44336cef83,0x7f4427191189,358
0x7f44336cef83,0x7f4422b86e88,529
0x7f44336cef83,0x7f441fffe17b,364
0x7f44336cef83,0x7f443a0b1fec,370
0x7f44336cef83,0x7f4421237615,360
0x7f44336cef83,0x7f442b6a57f3,370
0x7f44336cef83,0x7f442f2c7930,509
0x7f44336cef83,0x7f4437f96b8d,372
0x7f44336cef83,0x7f4436252a22,362
0x7f44336cef83,0x7f4420f0e035,395
0x7f44336cef83,0x7f442bd72f4b,355
0x7f44336cef83,0x7f442cbef7f6,354
0x7f44336cef83,0x7f44145dcfb8,411
0x7f44336cef83,0x7f440378f0fb,365
0x7f44336cef83,0x7f443747384b,362
0x7f44336cef83,0x7f4436b0d48b,367
0x7f44336cef83,0x7f441c59155f,366
0x7f44336cef83,0x7f440fb71520,364
0x7f44336cef83,0x7f4431a0b17a,358
0x7f44336cef83,0x7f440a3a1d4e,516
0x7f44336cef83,0x7f442ee80143,360
0x7f44336cef83,0x7f4436870218,353
0x7f44336cef83,0x7f4430bdeab4,373
0x7f44336cef83,0x7f44304430b0,363
0x7f44336cef83,0x7f443f536c27,507
0x7f44336cef83,0x7f44068b1059,361
0x7f44336cef83,0x7f442b953da8,351
0x7f44336cef83,0x7f4402d6cc2d,364
0x7f44336cef83,0x7f44312e47ce,362
0x7f44336cef83,0x7f441a443dd7,363
0x7f44336cef83,0x7f440aa96eb1,369
0x7f44336cef83,0x7f4418475957,359
0x7f44336cef83,0x7f443cfcac5f,365
0x7f44336cef83,0x7f442aa9502c,363
0x7f44336cef83,0x7f4412527943,361
0x7f44336cef83,0x7f441e202275,366
0x7f44336cef83,0x7f441613a81f,368
0x7f44336cef83,0x7f44017ef273,362
0x7f44336cef83,0x7f4416198e02,362
0x7f44336cef83,0x7f440c38d241,364
0x7f44336cef83,0x7f44226fd2a8,367
0x7f44336cef83,0x7f4401f0bd4d,356
0x7f44336cef83,0x7f4438f7ca38,493
0x7f44336cef83,0x7f4436cda260,358
0x7f44336cef83,0x7f440569ae48,365
0x7f44336cef83,0x7f44303f0283,362
0x7f44336cef83,0x7f442d7e76ec,361
0x7f44336cef83,0x7f4421c2c3a7,367
0x7f44336cef83,0x7f443ff617a3,369
0x7f44336cef83,0x7f441f1f2866,362
0x7f44336cef83,0x7f442bfce0f6,366
0x7f44336cef83,0x7f442ede18e6,366
0x7f44336cef83,0x7f4415a62a7f,363
0x7f44336cef83,0x7f441cbacbaa,352
0x7f44336cef83,0x7f441f224997,353
0x7f44336cef83,0x7f4414f996a6,355
0x7f44336cef83,0x7f442345dc03,363
0x7f44336cef83,0x7f440ab7873f,368
0x7f44336cef83,0x7f4417d062d3,363
0x7f44336cef83,0x7f44147423d1,369
0x7f44336cef83,0x7f4424fbc516,503
0x7f44336cef83,0x7f442279d184,353
